Розмір матриці,Час 2 потоків (сек.),Час 4 потоків (сек.),Час 8 потоків (сек.),Час 16 потоків (сек.),Час послідовно (сек.)
2, 0.000153, 0.000022, 0.000161, 0.000219, 0.000000
4, 0.000007, 0.000011, 0.000097, 0.000159, 0.000000
8, 0.000016, 0.000011, 0.000055, 0.000161, 0.000001
16, 0.000008, 0.000017, 0.000076, 0.000166, 0.000001
32, 0.000013, 0.000022, 0.000075, 0.000146, 0.000004
64, 0.000016, 0.000028, 0.000085, 0.000159, 0.000015
128, 0.000070, 0.000056, 0.000119, 0.000188, 0.000115
256, 0.000249, 0.000146, 0.000196, 0.000234, 0.000339
512, 0.000500, 0.000490, 0.000345, 0.000431, 0.001671
1024, 0.003272, 0.001689, 0.000833, 0.000918, 0.005850
2048, 0.011160, 0.004501, 0.002662, 0.002462, 0.017046
